time,raw_reading,batch,capacitance
100,12703227,6,12.76274756
100,12694634,6,12.75855176
100,12713199,6,12.7676167
100,12706960,6,12.76457031
100,12706743,6,12.76446436
100,12706516,6,12.76435352
120,11765997,7,12.30511572
120,11780021,7,12.31196338
120,11812346,7,12.32774707
120,11745045,7,12.29488525
120,11786571,7,12.31516162
120,11771109,7,12.30761182
120,11789874,7,12.31677441
120,11782878,7,12.3133584
120,11762599,7,12.30345654
120,11776279,7,12.31013623
120,11759998,7,12.30218652
120,11790456,7,12.31705859
120,11767016,7,12.30561328
120,11789991,7,12.31683154
120,11776248,7,12.31012109
120,11786387,7,12.31507178
120,11788391,7,12.31605029
120,11780585,7,12.31223877
120,11782794,7,12.31331738
120,11778913,7,12.31142236
120,11790132,7,12.31690039
120,11781871,7,12.3128667
120,11773895,7,12.30897217
120,11790419,7,12.31704053
120,11787647,7,12.31568701
120,11795822,7,12.31967871
120,11789342,7,12.31651465
120,11779571,7,12.31174365
120,11776341,7,12.3101665
120,11789210,7,12.3164502
120,11783899,7,12.31385693
120,11778634,7,12.31128613
120,11787037,7,12.31538916
120,11775491,7,12.30975146
120,11793337,7,12.31846533
120,11783386,7,12.31360645
120,11788449,7,12.31607861
120,11778818,7,12.31137598
120,11779913,7,12.31191064
120,11782034,7,12.31294629
120,11785488,7,12.31463281
120,11774186,7,12.30911426
120,11791633,7,12.3176333
120,11776206,7,12.31010059
120,11782262,7,12.31305762
120,11784022,7,12.31391699
120,11788493,7,12.3161001
120,11768809,7,12.30648877
120,11783763,7,12.31379053
120,11787144,7,12.31544141
120,11781371,7,12.31262256
120,11778152,7,12.31105078
120,11771853,7,12.3079751
120,11787623,7,12.31567529
120,11778362,7,12.31115332
120,11783386,7,12.31360645
120,11769211,7,12.30668506
120,11780296,7,12.31209766
120,11776452,7,12.3102207
120,11783796,7,12.31380664
120,11785276,7,12.3145293
120,11786200,7,12.31498047
120,11796379,7,12.31995068
120,11782770,7,12.31330566
120,11774816,7,12.30942187
120,11793651,7,12.31861865
120,11781345,7,12.31260986
120,11784873,7,12.31433252
120,11785896,7,12.31483203
120,11770695,7,12.30740967
120,11784791,7,12.31429248
120,11777472,7,12.31071875
120,11794930,7,12.31924316
120,11776426,7,12.31020801
120,11777824,7,12.31089062
120,11793061,7,12.31833057
120,11784473,7,12.31413721
120,11780983,7,12.31243311
120,11784415,7,12.31410889
120,11788120,7,12.31591797
120,11789710,7,12.31669434
120,11782973,7,12.31340479
120,11786358,7,12.31505762
120,11775430,7,12.30972168
120,11791494,7,12.31756543
120,11781082,7,12.31248145
140,11831803,8,12.33724756
140,11830057,8,12.33639502
140,11844705,8,12.34354736
140,11827961,8,12.33537158
140,11832994,8,12.3378291
140,11836219,8,12.33940381
140,11834813,8,12.33871729
140,11825759,8,12.33429639
140,11839437,8,12.3409751
140,11828294,8,12.33553418
140,11833007,8,12.33783545
140,11832001,8,12.33734424
140,11833471,8,12.33806201
140,11827081,8,12.33494189
140,11833796,8,12.3382207
140,11837697,8,12.34012549
140,11838684,8,12.34060742
140,11839609,8,12.34105908
140,11842289,8,12.34236768
140,11833004,8,12.33783398
140,11830112,8,12.33642188
140,11839508,8,12.34100977
140,11833698,8,12.33817285
140,11841998,8,12.34222559
140,11839082,8,12.34080176
140,11836103,8,12.33934717
140,11837163,8,12.33986475
140,11828522,8,12.33564551
140,11836083,8,12.3393374
140,11834706,8,12.33866504
140,11833455,8,12.3380542
140,11840548,8,12.34151758
140,11819315,8,12.3311499
140,11850004,8,12.34613477
140,11832292,8,12.33748633
140,11850676,8,12.34646289
140,11826864,8,12.33483594
140,11839112,8,12.34081641
140,11831446,8,12.33707324
140,11838513,8,12.34052393
140,11840662,8,12.34157324
140,11817917,8,12.33046729
140,11844758,8,12.34357324
140,11839325,8,12.34092041
140,11845112,8,12.34374609
140,11838346,8,12.34044238
