paper,capacitance
1.400000000000000000e+01,1.450016000000000000e+07
1.400000000000000000e+01,1.449823400000000000e+07
1.400000000000000000e+01,1.451048800000000000e+07
1.400000000000000000e+01,1.450893000000000000e+07
1.400000000000000000e+01,1.450433600000000000e+07
1.400000000000000000e+01,1.450639800000000000e+07
1.400000000000000000e+01,1.450169800000000000e+07
1.400000000000000000e+01,1.450204600000000000e+07
1.400000000000000000e+01,1.450368900000000000e+07
1.400000000000000000e+01,1.451127500000000000e+07
1.400000000000000000e+01,1.450485200000000000e+07
1.400000000000000000e+01,1.449961100000000000e+07
1.400000000000000000e+01,1.450032000000000000e+07
1.400000000000000000e+01,1.450136800000000000e+07
1.400000000000000000e+01,1.449927700000000000e+07
1.400000000000000000e+01,1.451540900000000000e+07
1.400000000000000000e+01,1.450959200000000000e+07
1.400000000000000000e+01,1.451247900000000000e+07
1.400000000000000000e+01,1.451780300000000000e+07
1.400000000000000000e+01,1.450451700000000000e+07
1.400000000000000000e+01,1.451392300000000000e+07
1.400000000000000000e+01,1.450256500000000000e+07
1.500000000000000000e+01,1.458747500000000000e+07
1.500000000000000000e+01,1.457699600000000000e+07
1.500000000000000000e+01,1.456980800000000000e+07
1.500000000000000000e+01,1.457147000000000000e+07
1.500000000000000000e+01,1.457851200000000000e+07
1.500000000000000000e+01,1.456492200000000000e+07
1.500000000000000000e+01,1.457642100000000000e+07
1.500000000000000000e+01,1.457863900000000000e+07
1.500000000000000000e+01,1.458888300000000000e+07
1.500000000000000000e+01,1.457731800000000000e+07
1.500000000000000000e+01,1.457557000000000000e+07
1.500000000000000000e+01,1.456659900000000000e+07
1.500000000000000000e+01,1.457892800000000000e+07
1.500000000000000000e+01,1.457474000000000000e+07
1.500000000000000000e+01,1.457991800000000000e+07
1.500000000000000000e+01,1.457781500000000000e+07
1.500000000000000000e+01,1.457671700000000000e+07
1.500000000000000000e+01,1.458407300000000000e+07
1.500000000000000000e+01,1.456091500000000000e+07
1.500000000000000000e+01,1.458350900000000000e+07
1.500000000000000000e+01,1.458010800000000000e+07
1.500000000000000000e+01,1.456066500000000000e+07
1.500000000000000000e+01,1.458649900000000000e+07
1.500000000000000000e+01,1.458374800000000000e+07
1.500000000000000000e+01,1.458286300000000000e+07
1.500000000000000000e+01,1.457867400000000000e+07
1.500000000000000000e+01,1.457729200000000000e+07
1.500000000000000000e+01,1.459012500000000000e+07
1.500000000000000000e+01,1.457306200000000000e+07
1.500000000000000000e+01,1.458006800000000000e+07
1.500000000000000000e+01,1.458696700000000000e+07
1.500000000000000000e+01,1.458387700000000000e+07
1.500000000000000000e+01,1.458997800000000000e+07
1.500000000000000000e+01,1.458373100000000000e+07
